大富翁数据中心_市场代码,合约代码,时间,最新,持仓,增仓,成交额,成交量,开仓,平仓,成交类型,方向,买一价,卖一价,买一量,卖一量
sc,rb1605,2016-03-08 10:40:12.500,2139.0000,1742042,214,14416240.0000,674.0000,444,230,多开,B,2138.0000,2139.0000,506,209
sc,rb1605,2016-03-08 10:40:13.000,2139.0000,1742042,0,0.0000,0.0000,0,0,多换,B,2138.0000,2139.0000,587,215
sc,rb1605,2016-03-08 10:40:13.500,2138.0000,1741686,-356,14154140.0000,662.0000,153,509,多平,S,2138.0000,2139.0000,286,187
sc,rb1605,2016-03-08 10:40:14.000,2139.0000,1741564,-122,9368380.0000,438.0000,158,280,空平,B,2139.0000,2140.0000,104,1255
sc,rb1605,2016-03-08 10:40:14.500,2139.0000,1741744,180,5347500.0000,250.0000,215,35,多开,B,2138.0000,2139.0000,265,105
sc,rb1605,2016-03-08 10:40:15.000,2139.0000,1741700,-44,1411740.0000,66.0000,11,55,空平,B,2138.0000,2139.0000,267,392
sc,rb1605,2016-03-08 10:40:15.500,2138.0000,1741600,-100,2994580.0000,140.0000,20,120,多平,S,2138.0000,2139.0000,251,374
sc,rb1605,2016-03-08 10:40:16.000,2139.0000,1741598,-2,85560.0000,4.0000,1,3,空平,B,2138.0000,2139.0000,252,873
sc,rb1605,2016-03-08 10:40:16.500,2139.0000,1741568,-30,1711000.0000,80.0000,25,55,空平,B,2138.0000,2139.0000,273,867
sc,rb1605,2016-03-08 10:40:17.000,2138.0000,1741230,-338,11716240.0000,548.0000,105,443,多平,S,2137.0000,2138.0000,253,329
sc,rb1605,2016-03-08 10:40:17.500,2138.0000,1741084,-146,3207000.0000,150.0000,2,148,多平,S,2137.0000,2138.0000,284,264
sc,rb1605,2016-03-08 10:40:18.000,2138.0000,1741084,0,42760.0000,2.0000,1,1,空换,S,2137.0000,2138.0000,293,285
sc,rb1605,2016-03-08 10:40:18.500,2138.0000,1741078,-6,128280.0000,6.0000,0,6,双平,S,2137.0000,2138.0000,293,803
sc,rb1605,2016-03-08 10:40:19.000,2137.0000,1741078,0,470140.0000,22.0000,11,11,空换,S,2137.0000,2138.0000,282,930
sc,rb1605,2016-03-08 10:40:19.500,2137.0000,1740826,-252,11967300.0000,560.0000,154,406,多平,S,2136.0000,2137.0000,420,273
sc,rb1605,2016-03-08 10:40:20.000,2137.0000,1740806,-20,1153980.0000,54.0000,17,37,多平,S,2136.0000,2137.0000,415,252
sc,rb1605,2016-03-08 10:40:20.500,2137.0000,1740806,0,42740.0000,2.0000,1,1,空换,S,2136.0000,2137.0000,320,255
sc,rb1605,2016-03-08 10:40:21.000,2137.0000,1740806,0,42740.0000,2.0000,1,1,空换,S,2136.0000,2137.0000,319,265
sc,rb1605,2016-03-08 10:40:21.500,2136.0000,1740654,-152,8757660.0000,410.0000,129,281,多平,S,2136.0000,2137.0000,117,276
sc,rb1605,2016-03-08 10:40:22.000,2136.0000,1740532,-122,5254560.0000,246.0000,62,184,多平,S,2135.0000,2136.0000,1046,183
sc,rb1605,2016-03-08 10:40:22.500,2136.0000,1740924,392,12044920.0000,564.0000,478,86,空开,S,2135.0000,2136.0000,944,18
sc,rb1605,2016-03-08 10:40:23.000,2135.0000,1739898,-1026,22806060.0000,1068.0000,21,1047,多平,S,2135.0000,2136.0000,617,20
sc,rb1605,2016-03-08 10:40:23.500,2136.0000,1739906,8,256320.0000,12.0000,10,2,多开,B,2135.0000,2136.0000,617,17
sc,rb1605,2016-03-08 10:40:24.000,2135.0000,1739922,16,4739900.0000,222.0000,119,103,空开,S,2135.0000,2136.0000,521,376
